Date;DPM;APM;SR
45952;107.2;71.6;11077
45952;98.9;61.1;10316
45950;111.1;89.9;13705
45950;109.4;77.9;12490
45950;113.2;103.5;13724
45950;109.2;88.9;12471
45950;118.4;88.5;13803
45950;112.1;82.9;13724
45950;120.5;86.2;13848
45950;110.6;87.2;13586
45950;123.2;101.3;13890
45950;105.4;89.1;13544
45950;99.5;70.6;13544
45950;118.3;89.1;12471
45950;112.7;87.2;13566
45950;112.4;70;12449
45950;113.5;93.8;13393
45950;108;91.2;13566
45949;57.8;22.5;4270
45949;57.3;28.4;4764
45949;56.2;23.9;4234
45949;60;29.7;4800
45949;53.2;29.8;4963
45949;58.6;27.3;4275
45949;51.7;24.3;4885
45949;55.1;25.1;4343
45949;62.6;21.1;4307
45949;57.1;22;4864
45949;60.1;25.2;4420
45949;77;21;4488
45949;56.1;17.3;3871
45949;54.2;21.9;4349
45949;45.3;21.2;3903
45949;57;21.6;4386
45949;43.8;17.9;3864
45949;57.6;22.4;4325
45949;72.9;21.7;4590
45949;55.1;23.4;4387
45949;51.1;22;4628
45949;58.6;23;4372
45949;43.4;25.2;4559
45949;55.8;22.8;4286
45949;67.7;24.8;4274
45949;58.2;29.5;4158
45949;66.5;23.7;4320
45949;57.3;54.6;4112
45949;37.4;25;4408
45949;49.7;20.8;4025
45949;68.4;29.7;4477
45949;52.7;20;3997
